,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Nadzaladevi,Varketili,Didube,Old Tbilisi (Старый город),Дигоми,Батуми,Центр,Кутаиси,desc_en
64,13-04-2020 17:02:29,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0274,14631,5433,493,199,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
65,13-04-2020 17:02:29,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0274,16102,5979,542,219,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
66,13-04-2020 17:02:29,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0274,14631,5433,493,199,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
67,13-04-2020 17:02:29,Tbilisi,A3I9,Joookerrr,МДМА 5 гр!!!,True,нет,2,Тбилиси,5 гр,0.048,28189,10430,947,,,,350,,,,,,,,,MDMA 5 gr!!!
68,13-04-2020 17:02:57,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0264,13970,5187,470,190,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
69,13-04-2020 17:02:57,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.068,35953,13350,1210,489,,,,,,,,,,,,💘✨5g. MDMA ✨💘
70,13-04-2020 17:02:57,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0263,13896,5160,468,189,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
71,13-04-2020 17:02:57,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1238,66172,24570,2228,900,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
72,13-04-2020 17:02:57,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0963,51467,19110,1733,700,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
73,13-04-2020 17:02:57,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.044,23528,8736,792,320,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
74,13-04-2020 17:02:57,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1101,58820,21840,1980,800,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
75,13-04-2020 17:02:57,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3062,163592,60743,5507,2225,,,,,,,,,,,,Amfetamin [White] [Import] 10G
76,13-04-2020 17:02:57,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),True,5,3,Тбилиси,10 гр,0.0137,8054,2980,271,,,,100,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
77,13-04-2020 17:02:57,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.2014,106537,39558,3587,1449,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
78,13-04-2020 17:02:57,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0513,27131,10074,913,369,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
79,13-04-2020 17:02:57,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0416,21984,8163,740,299,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
80,13-04-2020 17:02:57,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),True,нет,7,Тбилиси,20 гр,0.0557,29777,11057,1002,405,True,,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
81,13-04-2020 17:02:57,Tbilisi,Z5UFK,Vein,Cocaine Fishscale 20g,True,нет,1,Тбилиси,20 гр,0.4512,241087,89517,8116,3279,,,,,,,,,,,,Cocaine Fishscale 20g
82,13-04-2020 17:02:57,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0832,44041,16353,1483,599,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
83,13-04-2020 17:02:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1514,80877,30030,2723,1100,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
84,13-04-2020 17:02:57,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3302,176459,65520,5940,2400,,,,,,,,,,,,100 gr marijuana buds
85,13-04-2020 17:02:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2752,147049,54600,4950,2000,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
86,13-04-2020 17:02:57,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,1,1,Тбилиси,100 гр,0.278,147049,54600,4950,2000,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
87,13-04-2020 17:02:57,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.344,183811,68250,6188,2500,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
88,13-04-2020 17:02:57,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,2,Тбилиси,200 гр,0.4334,231602,85995,7797,3150,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
89,13-04-2020 17:02:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.633,338213,125580,11386,4600,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
90,13-04-2020 17:02:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.032,551434,204750,18564,7500,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
91,13-04-2020 17:02:57,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1696,624958,232050,21039,8500,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
92,13-04-2020 17:02:57,Tbilisi,LGRP8,Walker12,!!!Вызиваем опитного курера в команду !!!.,True,1,нет,Тбилиси,1 гр,0.0126,7000,3221,235,,,,,,,,,,,,,!!!Vyzivaem opitnogo kurera v komandu !!!.
93,13-04-2020 17:02:57,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.025,14705,5460,495,200,,,,,,,,,,,,KURYER..500RUB.+BONUS
94,13-04-2020 17:02:57,Tbilisi,U26MW,Skyhigh,Ищу Курьер с минимальним залогом только марихуана,True,1,нет,Тбилиси,1 гр,0.0165,8823,3276,297,120,,,,,,,,,,,,Ischu Kur'er s minimal'nim zalogom tol'ko marihuana
95,13-04-2020 17:02:57,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0275,14705,5460,495,200,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
