,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Vazisubani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Батуми,Центр,desc_en
71,12-08-2020 03:31:09,Tbilisi,S54D,wildindian,10g Methadone Crystal (В ЦЕНТРЕ НА МАГНИТАХ),True,нет,2,Тбилиси,10 гр,0.2484,234087,88960,7834,3200,,,,,,,,,,,,10g Methadone Crystal (V TsENTRE NA MAGNITAH)
72,12-08-2020 03:32:26,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0214,18288,6950,612,250,,,,,,,,,,,,Rabota na marki (kur'er)
73,12-08-2020 03:32:26,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0427,36576,13900,1224,500,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
74,12-08-2020 03:32:26,Tbilisi,9CK,Hyperboy,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0427,36576,13900,1224,500,,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
75,12-08-2020 03:32:26,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.2935,1097283,417000,36723,15000,,,,,,,,,,,,Vakansija optovogo kur'era na mef
76,12-08-2020 03:32:26,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0427,36576,13900,1224,500,,,,True,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
77,12-08-2020 03:32:26,Tbilisi,MAGIC,MAGtravki,КУРЬЕР [Любой город!],True,нет,5,Тбилиси,1 гр,0.0604,51207,19460,1714,700,,,,,,,,,,,,KUR'ER [Ljuboj gorod!]
78,12-08-2020 03:32:26,Tbilisi,ALISA,AlisaMSK,верифицированный аккаунт на localbitcoins 1 шт,True,нет,3,Тбилиси,1 гр,0.0035,3000,1380,100,,,,,,,,,,,,,verifitsirovannyj akkaunt na localbitcoins 1 sht
79,12-08-2020 03:32:26,Tbilisi,ALISA,AlisaMSK,Генацвале! Работай у лучшей девушки RC!,True,нет,1,Тбилиси,2 гр,0.0085,7315,2780,245,100,,,,,,,,,,,,Genatsvale! Rabotaj u luchshej devushki RC!
80,12-08-2020 03:34:42,Batumi,H9FHF,OldStar,Auto Amnesia Haze 1 gr,,1,нет,Батуми,1 гр,0.0054,5121,1946,171,70,,,,,,,,,,True,,Auto Amnesia Haze 1 gr
81,12-08-2020 03:34:42,Batumi,Z9UT,Rainbow,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Качественные шишки марихуаны,,1,нет,Батуми,10 гр,0.0427,36576,13900,1224,500,,,,,,,,,,,True,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Kachestvennye shishki marihuany
82,12-08-2020 03:34:42,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0404,34284,13047,1156,,,,,,,399,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
83,12-08-2020 03:34:42,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0395,33511,12753,1130,,,,,,,390,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
84,12-08-2020 03:34:42,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0194,18288,6950,612,250,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
85,12-08-2020 03:34:42,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0194,18288,6950,612,250,,,,,,,,,,True,,Ischu kur'era v Gruzii!
86,12-08-2020 03:34:42,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0171,14630,5560,490,200,,,,,,,,,,True,,Kur'er Batumi na marihuanu
87,12-08-2020 03:34:42,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.2935,1097283,417000,36723,15000,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
88,12-08-2020 03:34:42,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0427,36576,13900,1224,500,,,,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
