,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
78,27-03-2020 09:25:48,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0526,29049,10553,956,369,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
79,27-03-2020 09:25:48,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,2,Тбилиси,10 гр,0.0426,23538,8551,774,299,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
80,27-03-2020 09:25:48,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0854,47155,17131,1551,599,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
81,27-03-2020 09:25:48,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1539,94467,34320,3108,1200,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
82,27-03-2020 09:25:48,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1552,86595,31460,2849,1100,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
83,27-03-2020 09:25:48,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2822,157445,57200,5180,2000,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
84,27-03-2020 09:25:48,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.285,157445,57200,5180,2000,,,,,,,,,,SUBOXIN - HQ - 100 G.
85,27-03-2020 09:25:48,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3527,196806,71500,6475,2500,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
86,27-03-2020 09:25:48,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2138,118083,42900,3885,1500,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
87,27-03-2020 09:25:48,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.649,362123,131560,11914,4600,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
88,27-03-2020 09:25:48,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0582,590417,214500,19425,7500,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
89,27-03-2020 09:25:48,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1993,669140,243100,22015,8500,,,,,,,,,,10000sht marki 25i-nbome. predoplata
90,27-03-2020 09:25:48,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0257,15744,5720,518,200,,,,,,,,,,KURYER..500RUB.+BONUS
