,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Zahesi,Дигоми,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
83,02-07-2020 06:50:21,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.019,14088,5392,485,200,,,,,,,,,,KURYER..500RUB.+BONUS
84,02-07-2020 06:50:21,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0261,17610,6740,606,250,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
85,02-07-2020 06:50:21,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0209,14088,5392,485,200,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
86,02-07-2020 06:50:21,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0261,17610,6740,606,250,,,,,,,,,,Rabota na marki (kur'er)
87,02-07-2020 06:50:21,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5792,1056620,404400,36365,15000,,,,,,,,,,Vakansija optovogo kur'era na mef
88,02-07-2020 06:52:53,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️",,21,нет,Батуми,2 гр,0.0118,7919,3025,272,,,,,,100,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️"
89,02-07-2020 06:52:53,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,1,нет,Батуми,5 гр,0.03,20428,7818,703,290,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
90,02-07-2020 06:52:53,Batumi,Z9UT,Rainbow,Super Critical 10G,,4,нет,Батуми,10 гр,0.047,31699,12132,1091,450,,,,,,,,,True,Super Critical 10G
91,02-07-2020 06:52:53,Batumi,XH0NP,XX-PABLO-XX,METADON - 0.25 - SALE,,нет,10,Батуми,0.25 гр,0.0264,17610,6740,606,250,,,,,,,,True,,METADON - 0.25 - SALE
92,02-07-2020 06:52:53,Batumi,A3I9,Joookerrr,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1565,105662,40440,3636,1500,,,,,,,,True,,Gerojn (sirets) 5 gr
93,02-07-2020 06:52:53,Batumi,A3I9,Joookerrr,Сирец (геройн) очень сильный 10 гр,,нет,2,Батуми,10 гр,0.2296,154971,59312,5333,2200,,,,,,,,True,,Sirets (gerojn) ochen' sil'nyj 10 gr
94,02-07-2020 06:52:53,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0461,30884,11798,1062,,,,,,390,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
95,02-07-2020 06:52:53,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,5,Батуми,11 гр,0.0497,33260,12705,1144,,,,,,420,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
96,02-07-2020 06:52:53,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1674,112990,51992,3860,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
97,02-07-2020 06:52:53,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.265,178900,82321,6111,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
98,02-07-2020 06:52:53,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7044,2696,242,100,,,,,,,,True,,kur'er v Batumi
