,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),€,Saburtalo,Дигоми,Didube,Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
81,16-07-2020 15:25:36,Batumi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0378,25182,9688,851,,,310,,,,,,,True,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
82,16-07-2020 15:25:36,Batumi,BN40,Panters,Мефедрон 3г,,нет,3,Батуми,3 гр,0.0337,24931,9608,841,350,,,,,,,,,True,,,Mefedron 3g
83,16-07-2020 15:25:36,Batumi,BN40,Panters,Таблы Punisher 300 mg. 5шт.,,нет,5,Батуми,5 гр,0.0405,29917,11529,1009,420,,,,,,,,,True,,,Tably Punisher 300 mg. 5sht.
84,16-07-2020 15:25:36,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0537,35742,13750,1208,,,440,,,,,,,True,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
85,16-07-2020 15:25:36,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0476,31680,12188,1070,,,390,,,,,,,True,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
86,16-07-2020 15:25:36,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.0487,32411,12469,1095,,,399,,,,,,,True,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
87,16-07-2020 15:25:36,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1681,112990,51992,3833,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
88,16-07-2020 15:25:36,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2662,178900,82321,6068,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
89,16-07-2020 15:25:36,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7123,2745,240,100,,,,,,,,,True,,,kur'er v Batumi
90,16-07-2020 15:25:36,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0241,17808,6863,600,250,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
91,16-07-2020 15:25:36,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0241,17808,6863,600,250,,,,,,,,,True,,,Ischu kur'era v Gruzii!
92,16-07-2020 15:25:36,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0212,14246,5490,480,200,,,,,,,,,True,,,Kur'er Batumi na marihuanu
93,16-07-2020 15:25:36,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6043,1068465,411750,36024,15000,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
94,16-07-2020 15:25:36,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.053,35616,13725,1201,500,,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
95,16-07-2020 15:27:26,Kutaisi,2I03,bananaa,CUSTOM Шишки 230g 3in1,,1,нет,Кутаиси,230 гр,0.4473,300595,115839,10135,4220,,,,,,,,,,,True,CUSTOM Shishki 230g 3in1
