,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
78,24-07-2020 20:57:59,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0522,35799,13975,1193,,,500,,True,True,,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
79,24-07-2020 20:59:57,Batumi,GGVQZ,KARAVANos,Мелкие шишки (Indica) 2г,,4,нет,Батуми,2 гр,0.0044,3007,1174,100,,,42,,,,,,True,,Melkie shishki (Indica) 2g
80,24-07-2020 20:59:57,Batumi,GGVQZ,KARAVANos,Мощные шишки Y-Griega (Sativa) 5г,,1,нет,Батуми,5 гр,0.0345,23627,9224,787,,,330,,,,,,True,,Moschnye shishki Y-Griega (Sativa) 5g
81,24-07-2020 20:59:57,Batumi,Z9UT,Rainbow,Super Critical 10G,,1,нет,Батуми,10 гр,0.047,32219,12578,1074,,,450,,,,,,,True,Super Critical 10G
82,24-07-2020 20:59:57,Batumi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0379,25762,10044,856,310,,,,,,,,True,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
83,24-07-2020 20:59:57,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0538,36565,14256,1215,440,,,,,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
84,24-07-2020 20:59:57,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0477,32410,12636,1077,390,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
85,24-07-2020 20:59:57,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.0488,33158,12928,1102,399,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
86,24-07-2020 20:59:57,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1648,112990,51992,3798,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
87,24-07-2020 20:59:57,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.261,178900,82321,6013,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
88,24-07-2020 20:59:57,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7160,2795,239,,,100,,,,,,True,,kur'er v Batumi
89,24-07-2020 20:59:57,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0237,17899,6988,596,,,250,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
90,24-07-2020 20:59:57,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0237,17899,6988,596,,,250,,,,,,True,,Ischu kur'era v Gruzii!
91,24-07-2020 20:59:57,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0209,14319,5590,477,,,200,,,,,,True,,Kur'er Batumi na marihuanu
92,24-07-2020 20:59:57,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5808,1073961,419250,35786,,,15000,,,,,,True,,Vakansija optovogo kur'era na mef
93,24-07-2020 20:59:57,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0522,35799,13975,1193,,,500,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
