,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Saburtalo,Vake,Дигоми,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
82,82,21-03-2020 16:37:47,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,15,Батуми,5 гр,0.0262,15609,5620,512,200.0,,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
83,83,21-03-2020 16:37:47,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2906,156089,56200,5118,2000.0,,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
84,84,21-03-2020 16:37:47,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.218,117066,42150,3839,1500.0,,,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
85,85,21-03-2020 16:37:47,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0131,7804,2810,256,100.0,,,,,,,,,,True,,kur'er v Batumi
86,86,21-03-2020 16:37:47,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0327,19511,7025,640,250.0,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
87,87,21-03-2020 16:37:47,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0196,11707,4215,384,150.0,,,,,,,,,,True,,Rabota na marki (kur'er)
88,88,21-03-2020 16:37:47,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0327,19511,7025,640,250.0,,,,,,,,,,True,,Ischu kur'era v Gruzii!
89,89,21-03-2020 16:37:47,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.1776,1170665,421500,38387,15000.0,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
90,90,21-03-2020 16:37:47,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0719,39022,14050,1280,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
91,91,21-03-2020 16:39:23,Kutaisi,be97026d1d,Columbia Cocaine VHQ 1g BTC SALE 5%!! КУТАИСИ!!!,,10,нет,Кутаиси,1 гр,0.0295,15999,5761,525,205.0,,,,,,,,,,,True,Columbia Cocaine VHQ 1g BTC SALE 5%!! KUTAISI!!!
92,92,21-03-2020 16:39:23,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g BTC SALE 5%!! КУТАИСИ!!!,,8,нет,Кутаиси,1.5 гр,0.0258,13970,5030,458,179.0,,,,,,,,,,,True,MDMA from Europe!!! 1.5g BTC SALE 5%!! KUTAISI!!!
93,93,21-03-2020 16:39:23,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5%!! КУТАИСИ!!!,,11,нет,Кутаиси,2 гр,0.055999999999999994,30359,10931,995,389.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g BTC SALE 5%!! KUTAISI!!!
94,94,21-03-2020 16:39:23,Kutaisi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 2.0 g !!BTC SALE 5%!! КУТАИСИ!!!,,4,нет,Кутаиси,2 гр,0.024,13033,4693,427,167.0,,,,,,,,,,,True,GAShISh tverdyj!!! Hash!!!! 2.0 g !!BTC SALE 5%!! KUTAISI!!!
95,95,21-03-2020 16:39:23,Kutaisi,be97026d1d,MDMA from Europe!!! 3g BTC SALE 5%!! КУТАИСИ!!!,,10,нет,Кутаиси,3 гр,0.046,24974,8992,819,320.0,,,,,,,,,,,True,MDMA from Europe!!! 3g BTC SALE 5%!! KUTAISI!!!
96,96,21-03-2020 16:39:23,Kutaisi,54915c4374,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0198,11707,4215,384,150.0,,,,,,,,,,,True,Rabota na marki (kur'er)
